Country,City,Latitude,Longitude
India,New Delhi,28.6139,77.2090
India,Mumbai,19.0760,72.8777
India,Kolkata,22.5726,88.3639
India,Chennai,13.0827,80.2707
India,Bangalore,12.9716,77.5946
India,Hyderabad,17.3850,78.4867
India,Ahmedabad,23.0225,72.5714
India,Pune,18.5204,73.8567
India,Jaipur,26.9124,75.7873
India,Lucknow,26.8467,80.9462
India,Kanpur,26.4499,80.3319
India,Nagpur,21.1458,79.0882
India,Indore,22.7196,75.8577
India,Thane,19.2183,72.9781
India,Bhopal,23.2599,77.4126
India,Visakhapatnam,17.6868,83.2185
India,Patna,25.5941,85.1376
India,Vadodara,22.3072,73.1812
India,Ghaziabad,28.6692,77.4538
India,Ludhiana,30.9010,75.8573
India,Agra,27.1767,78.0081
India,Nashik,19.9975,73.7898
India,Ranchi,23.3441,85.3096
India,Faridabad,28.4089,77.3178
India,Coimbatore,11.0168,76.9558
India,Srinagar,34.0837,74.7973
India,Amritsar,31.6340,74.8723
India,Varanasi,25.3176,82.9739
India,Kochi,9.9312,76.2673
India,Guwahati,26.1445,91.7362
USA,New York,40.7128,-74.0060
UK,London,51.5074,-0.1278
Japan,Tokyo,35.6762,139.6503
France,Paris,48.8566,2.3522
Australia,Sydney,-33.8688,151.2093
UAE,Dubai,25.2048,55.2708
Singapore,Singapore,1.3521,103.8198
China,Hong Kong,22.3193,114.1694
Germany,Berlin,52.5200,13.4050
Italy,Rome,41.9028,12.4964
Spain,Madrid,40.4168,-3.7038
Russia,Moscow,55.7558,37.6173
China,Beijing,39.9042,116.4074
Egypt,Cairo,30.0444,31.2357
Brazil,Rio de Janeiro,-22.9068,-43.1729
Canada,Toronto,43.6532,-79.3832
Thailand,Bangkok,13.7563,100.5018
Turkey,Istanbul,41.0082,28.9784
South Korea,Seoul,37.5665,126.9780
Mexico,Mexico City,19.4326,-99.1332
Netherlands,Amsterdam,52.3676,4.9041
Austria,Vienna,48.2082,16.3738
USA,San Francisco,37.7749,-122.4194
USA,Los Angeles,34.0522,-118.2437
USA,Chicago,41.8781,-87.6298
USA,Miami,25.7617,-80.1918
USA,Las Vegas,36.1699,-115.1398
Canada,Vancouver,49.2827,-123.1207
Spain,Barcelona,41.3851,2.1734
Argentina,Buenos Aires,-34.6037,-58.3816
South Africa,Cape Town,-33.9249,18.4241
New Zealand,Auckland,-36.8485,174.7633
Sweden,Stockholm,59.3293,18.0686
Greece,Athens,37.9838,23.7275
Switzerland,Zurich,47.3769,8.5417
Poland,Warsaw,52.2297,21.0122
Portugal,Lisbon,38.7223,-9.1393
Ireland,Dublin,53.3498,-6.2603
Norway,Oslo,59.9139,10.7522
Finland,Helsinki,60.1699,24.9384
Denmark,Copenhagen,55.6761,12.5683
Malaysia,Kuala Lumpur,3.1390,101.6869
Indonesia,Jakarta,-6.2088,106.8456
Philippines,Manila,14.5995,120.9842
Belgium,Brussels,50.8503,4.3517
Czech Republic,Prague,50.0755,14.4378
Chile,Santiago,-33.4489,-70.6693
Israel,Jerusalem,31.7683,35.2137
Saudi Arabia,Riyadh,24.7136,46.6753
Qatar,Doha,25.2854,51.5310
Peru,Lima,-12.0464,-77.0428
Colombia,Bogota,4.7110,-74.0721
Morocco,Marrakech,31.6295,-7.9811
Vietnam,Ho Chi Minh City,10.8231,106.6297
Ukraine,Kyiv,50.4501,30.5234
Hungary,Budapest,47.4979,19.0402
Iceland,Reykjavik,64.1466,-21.9426
Malta,Valletta,35.8989,14.5146
Costa Rica,San Jose,9.9281,-84.0907
Jamaica,Kingston,18.0179,-76.8099
Panama,Panama City,8.9824,-79.5199
Croatia,Dubrovnik,42.6507,18.0944
Fiji,Suva,-18.1248,178.4501
Brazil,Sao Paulo,-23.5505,-46.6333
USA,Boston,42.3601,-71.0589
Slovenia,Ljubljana,46.0569,14.5058
Bahamas,Nassau,25.0343,-77.3963
Serbia,Belgrade,44.7866,20.4489
Estonia,Tallinn,59.4370,24.7536
USA,Seattle,47.6062,-122.3321
Germany,Munich,48.1351,11.5820
USA,Dallas,32.7767,-96.7970
China,Shanghai,31.2304,121.4737 